Name,Overview,Duration,Min_req,Branch/Intake,Career Prospects,Fees,,
Bachelor of Science in Architecture (Honours),"Architecture is the art and science of building. The word ‘architecture’ was derived from Latin word ‘architectura’ and Greek word ‘arkitekton’, which mean ‘master builder’. As a trained professional and very often the lead player in building projects, an architect is entrusted with transforming the client’s need for space into reality. An architect is usually involved in all aspects related to the design, construction and commissioning of a building project. In the private sector, an architect may be employed in an architectural consultancy firm. After gaining suitable experience, he/she may decide to set up his/her own private practice.

The Bachelor of Science in Architecture (Honours) programme serves as Part I of the architectural education on the pathway towards the registration as Architect. As one of the accredited architecture courses in Malaysia, the programme is designed to cater for students who wish to pursue the career of architecture and practice as architects in Malaysia. For candidates without the requisite pre-university qualification, they may choose to complete the Diploma in Architecture programme first before they are promoted to the degree study on credit transfer.

Candidates for architectural studies are expected to have an interest in art and design, an ability to appreciate form and space, a love for heritage and culture, as well as an ability to appreciate all the five human senses. Students in this programme go through lectures, tutorials, laboratories, group discussions, seminars and studio works in which they learn draughting skills both manually and by using computer aided design (CAD) tools. Subjects covered in the programme include Design Studios, Design Theory, Construction Technology and Materials, Structural Studies, Environmental Science, Building Services, History of Architecture, Building By-Laws, Digital Modelling, Architectural Drawing etc.",Duration:3 years,"STPM: Minimum Grade C in 2 relevant subjects listed in Schedule A
A Level: Minimum Grade D in 2 relevant subjects  listed in Schedule A
UEC: Grade B in 5 relevant subjects  listed in Schedule A
other IHL: relevant foundation/Diploma accredited by MQA
TARUMT: Foundation in Arts (Track A)/relevant diploma
AND
SPM Credit/O Level Grade C/UEC Grade B in Mathematics
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language
AND
Pass in Portfolio interview conducted by TARUMT

Schedule A
-----------
STPM Qualification: Geografi, Ekonomi, Perakaunan, Mathematics (M), Mathematics (T), Further Mathematics, Physics, Chemistry, Biology, Information and Communication Technology (ICT), Pengajian Perniagaan, Pengajian Am, Bahasa Melayu, Sejarah and any other relevant technical subjects.
A Level Qualification: Applied Information and Communication Technology, Computer Science, Law, Psychology, Sociolody, Geography, Economics, Accounting, Pure mathematics, Mathematics, Mathematics-Further, Physics, Chemistry, Biology, Computing, Business Studies and other relevant technical subjects.
UEC Qualification: Malay Language, English Language, Chinese Language History, Geography, Economics, Accounting, Mathematics, Advanced Mathematics, Advanced Mathematics (I), Advanced Mathematics (II), Physics, Chemistry, Biology, Computing and Information Technolody, Business Studies, Book Keeping and Accounts and any other relevant technical subjects.
","Intake:July
Campus:KL Main Campus ","Graduates can be employed as:

Architectural Assistant
Assistant Designer
Draughtsman
Project Supervisor
Building Model Maker
3D Architectural Visualiser","Estimated Total Fees: (RM) 34,400 – Malaysian Students

                                           (RM) 59,700 – International Students

The estimated total fees may vary by 10%. ",,
Bachelor of Banking and Finance (Honours),This programme aims to produce graduates who are equipped with the knowledge and core competencies and dispositions necessary for pursuing a demanding career in the highly competitive domestic and international banking and finance industry., Duration:3 years,"STPM: Minimum Grade C+ in 2 relevant subjects
A Level: Minimum Grade D in 2 relevant subjects  
UEC: Grade B in 5 relevant subjects 
other IHL: relevant foundation/Diploma (with minimum CGPA 2.5000) accredited by MQA
TARUMT: Foundation in Business/relevant diploma (with minimum CGPA 2.5000)
AND
SPM Credit/O Level Grade C in mathematics/UEC Grade B in one Mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language

", Campus:KL Main Campus (R/343/6/0340)(09/23)(MQA/FA 3892)," Graduates can secure employment in banks and financial institutions in the following areas:
Credit Processing
Mortgage Sales
Treasury Service
Customer Relations & etc","Estimated Total Fees: RM33,800 (Malaysian Student), RM59,400 (International Student)",,
Bachelor of Business Administration (Honours),"This programme provides students with a well-rounded business education through a core curriculum of management, marketing, finance, accounting, economics and law courses. It aims to create competent executives with abilities to contribute and support leadership in organizations.", Duration:3 years,"STPM: Minimum Grade C in 2 relevant subjects
A Level: Minimum Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Business/Relevant Diploma 
AND
SPM Credit/O Level Grade C in Mathematics/UEC Grade B in one Mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language"," Campus:KL Main Campus (R/340/6/0341)(09/23)(MQA/FA 3889), Penang (N/340/6/0786)(10/24)(MQA/FA 12050), Perak (N/340/6/0787)(10/24)(MQA/FA 12049), Johor (N/340/6/0789)(12/24)(MQA/FA 12021), Sabah (N/340/6/0785)(10/24)(MQA/FA 12196) and Pahang (N/340/6/0818)(01/26)(MQA/PA 14034) branch campuses."," Graduates can secure employment in a wide variety of management and administrative positions both in the private and puclic sectors in the following areas:
Business Administration
Business Operation
Human Resource Management
Sales & Marketing & etc","Estimated Total Fees: RM34,000 (Malaysian Student), RM59,800 (International Student)",,
Bachelor of Science (Hons) in Bioscience with Chemistry,"This programme equips students with an in-depth understanding of the core principles and methodologies underlying current biotechnological research, thus, able to pursue careers in bioscience and biotechnology either in industry or academic research. In this programme, students are able to develop the transferable qualities and skills required for employment or research in the biosciences sector. Bioscience students are not only trained in laboratory and research skills but equip with the relevant business and entrepreneurial skills. Students will have an opportunity to work with industry through their internship and to carry out a real-life research project in the bioscience area. All such training will add value to their qualification and benefit their employment.", Duration:3 years,"STPM: Grade C in Biology and Chemistry
A Level: Grade D in Biology and Chemistry
UEC: Grade B in 5 relevant subjects which must include Biology and Chemistry
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Science(Track B)/Diploma in Science
AND
SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language"," Intake:February, June & November
Campus:KL Main Campus ","Career Prospects:
Research Scientists
Chemists
Quality Control/Assurance Executives
Marketing & Sales Executives
Life Science Technologists
Biochemists
Microbiologists
Life Sciences Product Specialists
Biotechnologists
Occupational Health and Safety Specialists
Environmentalists","Estimated Total Fees: RM34,900 (Malaysian Student), RM60,800 (International Student)

The estimated total fees may vary by 10%. ",,
Bachelor of Communication (Honours) in Broadcasting,"This programme entails knowledge and skills for the technical understanding, writing, scripting, presenting and organising of traditional and new broadcast media. There are also specific courses designed to enhance the depth of knowledge and appreciation of the broadcast communication industry, like Film Appreciation, Criticism and Interpretation, Cinematography and Visual Communication, Production and Multimedia, Radio Journalism, Communication Technology, Communication Theories as well as application in Audio, Television and Video Production. Students will engage in all aspects of the creation and production works.",Duration:3 Years,"STPM: Grade C in 2 relevant subjects
A Level: Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects 
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Arts(Track C)/Relevant Diploma
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language","Intake: 
YEAR 1 : JUNE
YEAR 2 : JUNE & NOV

Campus:Kuala Lumpur Main Campus ","Career Prospects:
Broadcast News Analyst
Media Planner
Multimedia Artist, Animator, Creative Director
Producer/Director-Stage, Motion Pictures, Television and Radio
Radio & Television Announcer
Reporter & Correspondent, journalist
Web developer or Web Designer","Estimated Total Fees: RM 34,300 (Malaysian Students), RM59,900 (International Students)

The estimated total fees may vary by 10%.",,
Bachelor of Commerce (Honours),"This programme aims to provide students with thorough and rigorous learning of financial accounting & reporting, management accounting & control, taxation, audit & assurance, IT applications in accounting, professional values and ethics, and corporate governance and their applications in the context of business organizations as well as the compliance framework required under the relevant authorities.", Duration:3 years,"STPM: Minimum Grade C+ in 2 relevant subjects
A Level: Minimum Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects 
other IHL: relevant foundation/Diploma (with minimum CGPA 2.5000) accredited by MQA
TARUC: Foundation in Accounting/Relevant Diploma (with minimum CGPA 2.5000) 
AND
SPM Credit/O Level Grade C in Mathematics/UEC Grade B in one mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language
AND
MUET Band 2/IELTS Band Score 4.0/equivalent",Campus:KL Main Campus (R/344/6/0205)(10/23)(MQA/FA 3918)," Career prospects for graduates of Bachelor of Commerce (Honours) are wide and varied. There are excellent career opportunities awaiting graduates of this programme such as:
Accounting
Public Practice
Commerce and Industry
Public sector and statutory organizations
Corporate Finance
Assurance SErvices
Corporate Advisory
Corporate REporting
Taxation
Risk Management & etc","Estimated Total Fees: RM35,400 (Malaysian Student), RM61,700 (International Student)",,
Bachelor of Communication Studies (Honours),"This programme is designed to equip communication graduates with new skills required for the digital economy. Theories and practices blended with industry know-how in the new forms of the communication industry will be given priorities in this programme. Part of the programme content that makes our graduates content creators includes the new media, digital publishing, video production, web design and social media analytics. Another part of the programme that nurtures our graduates to be creative and critical thinkers includes speaking and writing courses, research skills and communication projects. Thus, graduates of this programme who understand inter-cultural communication, integrated marketing communication across various media platforms, collaborative projects with diverse resources, new media tools and other evolving communication platforms are expected to be effective communicators in the workplace. This Communication degree that is designed to be highly transferable and flexible in terms of career path, will attract the interest of both students and employers of the job market.",Duration:3 Years,"STPM: Grade C in 2 relevant subjects
A Level: Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects 
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Arts(Track C)/Relevant Diploma
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language","Intake: 
YEAR 1 : JUNE & NOV (PK)
YEAR 2 : JUNE & NOV (PK)

*Only offered in Perak Branch (PK)

Campus:Perak Branch Campus ","Career Prospects:
Communications Executive
MarComm Executive
Media Producer
Media Researcher
Copywriter
Social Media Manager
Creative Content Provider
Corporate Communication Executive
Web Content Writer","Estimated Total Fees: RM 33,800.00 (Malaysian Students)

The estimated total fees may vary by 10%",,
Bachelor of Construction Management and Economics (Honours),"This programme is one of the few construction management programme being offered in Malaysia. It is designed to provide essential knowledge and skills in the discipline of construction management and property development in the construction industry. This programme focuses on planning, co-ordination and control of the construction project from inception till completion stage as well as the entire property development phases.  Students are equipped with essential building technology knowledge, construction health and safety knowledge, procurement strategies, contract administration and project management skills. Students are also trained in the theory and software application in project planning, programming and production. In line with our national initiatives in construction digitalisation, students will be trained to utilise Building Information Modelling (BIM) software for managing construction process more effectively to improve productivity. This programme equips students with essential skill sets for construction management and property development. It also provides effective pathway for students to further their studies at postgraduate level in the area of construction project management, construction contract management and other related discipline.",Duration:3 Years,"STPM: Grade C in 2 relevant subjects listed in Schedule A
A Level:Grade D in 2 relevant subjects  listed in Schedule A
UEC: Grade B in 5 relevant subjects  listed in Schedule A
other IHL: relevant foundation/Diploma accredited by MQA
TARUMT: Foundation in Arts (Track A)/ diploma accredited by MQA
AND
SPM Credit/O Level Grade C/UEC Grade B in one Mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language

Schedule A
-----------
STPM Qualification: Geografi, Ekonomi, Perakaunan, Mathematics (M), Mathematics (T), Further Mathematics, Physics, Chemistry, Biology, Information and Communication Technology (ICT), Pengajian Perniagaan, Pengajian Am, Bahasa Melayu, Sejarah and any other relevant technical subjects.
A Level Qualification: Applied Information and Communication Technology, Computer Science, Law, Psychology, Sociolody, Geography, Economics, Accounting, Pure mathematics, Mathematics, Mathematics-Further, Physics, Chemistry, Biology, Computing, Business Studies and other relevant technical subjects.
UEC Qualification: Malay Language, English Language, Chinese Language History, Geography, Economics, Accounting, Mathematics, Advanced Mathematics, Advanced Mathematics (I), Advanced Mathematics (II), Physics, Chemistry, Biology, Computing and Information Technolody, Business Studies, Book Keeping and Accounts and any other relevant technical subjects.","IntakeJanuary, July & November
CampusKL Main Campus ","Graduates can be employed as:

Construction Coordinator
Site Supervisor
Planner
Building Inspector
Purchasing Coordinator
Contract Administrator
And gradually, the graduate with experienced can be employed as :
Assistant Construction Manager / Construction Manager
Assistant Prooject Manager/Project Manager
Planner Engineer
Contract Manager","Estimated Total Fees: (RM) 36,700 – Malaysian Students

                                           (RM) 63,800 – International Students

The estimated total fees may vary by 10%.",,
Bachelor of Corporate Administration (Honours),"This programme provides students with broad base knowledge in management, law, accounting, taxation, finance and corporate governance. It also provides opportunities for students to obtain the internationally recognized CGI (ICSA) professional qualification.", Duration:3 years,"STPM: Minimum Grade C in 2 relevant subjects
A Level: Minimum Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Business/Relevant Diploma 
AND
SPM Credit/O Level Grade C in Mathematics/UEC Grade B in one Mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language", Campus:KL Main Campus (R/345/6/0428)(09/23)(MQA/FA 3890)," Graduates of Bachelor of Corporate Administration (Honours) can seek employment in a wide variety of administrative, management and financial positions both in the public and private sectors, such as:
Company Secretary
Corporate Administrator
Management Consultant
Corporate Manager
Compliance Officer
Tax Agent
Human Resource Manager & etc","Estimated Total Fees: RM34,600 (Malaysian Student), RM60,400 (International Student)",,
Bachelor of Creative Multimedia (Honours),"This programme aims to impart knowledge and develop skills in studio-based design process and techniques which enable graduates to choose in and perform a wide range of career setting relevant to various media related industries.

Multimedia design is an ever-evolving field. In order to thrive in such an industry, graduates are not only equipped with the skills and knowledge required, but also the ability to improve and adopt to the evolving industry. The programme constantly makes improvement in terms of technological advancement as well as design trend to compare and compete on industrial level.

We are locally and international recognized; graduates are widely accepted by local and creative industries overseas. The programme actively supports participation in creative workshops, events and competitions and has been awarded with numerous achievements. The programme also includes a 3-months internship period, allowing students to practically experiences and involve themselves in managing industrial level projects.",Duration:3 Years,"STPM: Grade C in 2 relevant subjects
A Level: Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects 
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Arts(Track C)/Relevant Diploma
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language
AND
pass a specified portfolio test conducted by TARUMT","Intakes:
YEAR 1 : JUNE & NOV
YEAR 2 : JUNE & NOV

Campus:Kuala Lumpur Main Campus "," Career Prospects:
Interactive Media Artists / Designers
UX & Web Designers
Mobile Application Developers
Social Media Activists / Content Designers
2D / 3D Animators
Motion Designers
Digital Filmmakers / Editors
Post Production Designers / Compositors
Instructional Designers / Game Designers
Educators
Creative Technologies
Creative Entrepreneurs","Estimated Total Fees: RM35,600 (Malaysian Students), RM62,100 (International Students)

The estimated total fees may vary by 10%.",,
Bachelor of Computer Science (Honours) in Data Science,"This programme is designed to train students in both computer science and data science, which prepares them well for data professionals or data scientist career pathway. Graduates of this programme are highly demanded in the increasingly data-driven world where their main role is to make sense of big data to improve business processes, optimize resources, increase profits, increase customer satisfaction, personalized experience, automation, and so on.

Artificial Intelligence, Machine Learning, Internet of Things, Business Intelligence, Data Warehouse Technology, Cloud Computing are some of the specialization courses covered in this programme in addition to core courses of Computer Science, for example, Programming, Database Management, Software Engineering and Computer Networks.

Students will have an opportunity to work with the industry through their 6 months industrial training and carry out real-life projects on data science and computer science. All such training will add value to their qualification and increase their employment opportunities.

Upon completion of this program, the students will also obtain SAS Joint Certificate specialised in Data Science and Machine Learning.  ", Duration:3 years,"STPM: Grade C in 2 relevant subjects
A Level: Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects 
other IHL: relevant foundation /Relevant Diploma (with minimum CGPA 2.5000) accredited by MQA
TARUC: Foundation in Computing(Track A)/Relevant Diploma (with minimum CGPA 2.5000) 
AND
SPM Credit in Additional Mathematics/O Level Grade C in mathematics-Additional/UEC Grade B in one mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language","Campus:KL - Kuala Lumpur Main Campus,PG - Penang Branch Campus

Intake:
Year 1 Intake: January (KL); June (KL, PG); November (KL)
Year 2 Intake: June (KL, PG)"," Career Prospects:
Data Scientists
Data Engineers
Data Analysts
Data Modelling Engineers
Software Developers
Mobile Application Developers
Computer Science Researchers
Machine Learning Engineers","Estimated Total Fees : RM34,300 (Malaysian Student), RM59,900 (International Student)

The estimated total fees may vary by 10%",,
Bachelor of Early Childhood Education (Honours),"The theory and practical elements of this programme provide students with up-to-date knowledge and expertise in child development, early years curriculum design as well as pedagogy in literacy, acts, mathematics and science. Thus, enabling them to effectively apply what they have learnt to their teaching careers. This programme includes practicum placement and micro-teaching in early childhood settings in which students are trained to be competent early childhood educators.",Duration:3 years,"STPM:  Grade C in 2 relevant subjects
A Level: Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Arts(Track B)/Relevant Diploma 
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language","Intake:July, November & February
Campus:KL - Kuala Lumpur Main Campus","• Preschool Teacher
• Early learning centre teacher
• Childhood educator
• Children enrichment programme specialists
• Managers, executives and entrepreneurs in children-related industries
• Preschool Curriculum Planner
• Kindergarten Principal","Estimated Total Fees: Full-time - RM33,200 (Malaysian Student), Part-time - RM33,700 (Malaysian Student),

Full-time - RM58,500 (International Student) 

The estimated total fees may vary by 10%.",,
Bachelor of Business (Honours) in Entrepreneurship,This programme aims to produce graduates with the traits and qualities of entrepreneurs for employment in varied types of businesses as well as for self employment as business entrepreneurs., Duration:3 years,"STPM: Minimum Grade C in 2 relevant subjects
A Level: Minimum Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Business/Relevant Diploma 
AND
SPM Credit/O Level Grade C in Mathematics/UEC Grade B in one Mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language", Campus:KL Main Campus (R/340/6/0343)(09/23)(MQA/FA 3893), Graduates of Bachelor of Business (Honours) in Entrepreneurship may seek employment in/ start and manage new business ventures in varied industries.,"Estimated Total Fees: RM34,000 (Malaysian Student), RM59,800 (International Student)",,
Bachelor of Economics (Honours),"This programme provides students with a thorough and rigorous learning of principles of economics and their applications in the context of business organizations. With globalisation, graduates who are equipped with knowledge of business economics, information technology, management principles, law and statistics will be able to seek gainful employment in banks, financial institutions and commercial organisations.", Duration:3 years,"STPM: Minimum Grade C in 2 relevant subjects
A Level: Minimum Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Business/Relevant Diploma 
AND
SPM Credit/O Level Grade C in Mathematics/UEC Grade B in one Mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language", Campus:KL Main Campus (R/314/6/0016)(10/23)(MQA/FA 3891), Graduates of Bachelor of Economics (Honours) can seek employment such as:,"Estimated Total Fees: RM33,700 (Malaysian Student), RM59,300 (International Student)",,
Bachelor of Electrical and Electronics Engineering with Honours,"Electrical and Electronic Engineering shows you how a touchscreen responds to your fingers, how your GPS knows exactly where you are and how electricity arrives at your doorstep with a flick of a switch from a power plant hundreds of kilometres away. Electrical and Electronic devices are everywhere, rapidly changing the way we live our lives. It is the leading sector in Malaysia’s industry. The programme will prepare you to be a competent engineer well equipped to meet the challenges of a very fast-moving industry. The emphasis of the programme is on sustainable design, development and commercialisation of a wide range of electrical & electronic products and services. This includes consumer electronics, intelligent control systems, electrical energy, power systems and electrical machines.",Duration:4 years,"STPM:  Grade C in Physics and Mathematics/Further Mathematics
A Level: Grade D in Physics and Mathematics
UEC: Grade B in 5 relevant subjects which must include Physics and Advanced Mathematics
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Engineering/Relevant Diploma 
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language","Intake:January, May/June, November (Selected programme)
Campus:KL Main Campus","Graduates will find career opportunities in a wide range of sectors, including aerospace, communications, instrumentation & control, IT & computing, consumer & industrial electronics/microelectronics, electrical & power generation machinery & equipment, manufacturing, transport networks, power generation, transmission & distribution, public utilities, building services, scientific, medical and educational institutions, amongst others.


Job scopes may include developing solutions to problems using new or existing technologies, product design, research & development, test & verification, inspection and maintenance, marketing, sales & service, management/supervision of engineering projects & operations, systems installation & testing, ensuring projects meet electrical safety regulations and consultancy, amongst others.","Estimated Total Fees: (RM) 41,000 (Malaysian Student), RM71,500 (International Student).

The estimated total fees may vary by 10%. ",,
Bachelor of Electronics Engineering Technology with Honours,"Electronics Engineering is one of the largest and fastest growing industries, especially in Penang – Malaysia’s electronics manufacturing hub. This programme deals with the design, application, installation, manufacturing, operation or maintenance of electronics systems. Unlike conventional electronics engineering programme which emphasises on general theories and conceptual designs, the Bachelor of Electronics Engineering Technology with Honours programme covers a specialised discipline in application of electronic engineering, design and implementation, with a broad knowledge of curriculum in the area of industrial robotic, very-large-scale integration (VLSI) design system, microwave communication system, digital signal processing, microelectronics and etc.
Students are also given work placement opportunities with the industry partners includes Plexus Manufacturing Sdn Bhd, Jabil Circuit Sdn Bhd, ViTrox Corporation Berhad, UWC Berhad, VeecoTech Web & Ecommerce Sdn Bhd and Community Marketplace Technology Sdn Bhd throughout their studies, particularly during their semester breaks and internship. This programme produces highly sought-after talents for the industry as students will go through an enriching learning experience that is industrial-relevant.",Duration:4 years,"STPM:  Grade C in Physics and one Mathematics subject
A Level: Grade D in Physics and Mathematics
UEC: Grade B in 5 relevant subjects which must include Physics and one Mathematics subject
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Engineering/Relevant Diploma 
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language","Intake:May/June
Campus:Penang Campus","The career prospect of engineering technologist covers a broad spectrum in the engineering field:

Product development & manufacturing
Aerospace
Communications
Instrumentation & control
IT & computing
Consumer & industrial electronics
Microelectronics","Estimated Total Fees: (RM) 40,500 (Malaysian Student), RM72,400 (International Student).

The estimated total fees may vary by 10%. ",,
Bachelor of Arts in English Studies (Honours),"This programme combines relevant communication skills and fundamental knowledge of English Studies. Graduates will be equipped with the skills in language, literature as well as linguistics, providing a holistic approach to communicate competently, effectively and professionally in English.",Duration:3 years,"STPM:  Grade C in 2 relevant subject
A Level: Grade D in 2 relevant subject
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Arts(Track B)
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language
AND
MUET Band 4/IELTS Band Score 6.0/equivalent","Intake:July & November
Campus:KL – Kuala Lumpur Main Campus","English language teachers/lecturers
Writers
Editors
Corporate Communication Executives
Public Relations Executives","Estimated Total Fees: RM33,200 (Malaysian Student), RM58,600 (International Student).",,
Bachelor of Arts (Honours) English with Drama,"This programme aims to produce graduates with effective communication skills and fundamental knowledge of the English Language, as well as the skills in literature and drama, to perform and communicate competently and effectively for professional employment in any organisation Malaysian or abroad where the English Language is required as the medium of communication. This unique combination of both the practicality of the English Language as a vital language tool and the richness of performing arts will provide the graduates with a competitive advantage of possessing a good command of the language, as well as creative skills and talents.",Duration:3 years,"STPM:  Grade C in 2 relevant subject
A Level: Grade D in 2 relevant subject
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Arts(Track B)
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language
AND
MUET Band 4/IELTS Band Score 6.0/equivalent","Intake:July
Campus:KL - Kuala Lumpur Main Campus","Writers
Editors
Content writer/producers for online and print media
Play directors
Actors/actresses
Stage production crews
Scriptwriters
Playwrights","Estimated Total Fees: RM33,700 (Malaysian Student), RM59,300 (International Student)

The estimated total fees may vary by 10%. ",,
Bachelor of Arts (Honours) English with Education,"This programme aims to produce graduates with the communication skills, competence and fundamental knowledge of the English Language and its structure in order to function competently and perform effectively in a Malaysian or international workplace setting. It also aims to equip graduates with pedagogical skills to manage ESL classroom teaching competently.",Duration:3 years,"STPM:  Grade C in 2 relevant subject
A Level: Grade D in 2 relevant subject
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Arts(Track B)
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language
AND
MUET Band 4/IELTS Band Score 6.0/equivalent","Intake:July & November
Campus:KL – Kuala Lumpur Main Campus","English language teachers/lecturers
Writers
Editors
Content writers/producers for online and print media
Copywriters
News reporters
Social media managers","Estimated Total Fees: RM33,200 (Malaysian Student), RM58,500 (International Student)

The estimated total fees may vary by 10%. ",,
Bachelor of Information Systems (Honours) in Enterprise Information Systems,"Information systems are the heart of many organisations that support their daily business processes and in turn promote business growth. As the size and demand of information systems has grown tremendously, many of the business functions like sales & marketing, finance & accounting, manufacturing & processes, human resources, supply chain management, customer relationship management, knowledge management and many other business functions are integrated into enterprise information systems to further improve organisational performance.

This programme is designed to equip students with the ability to solve practical problems in the implementation of enterprise information systems in large organisations. In addition to fundamentals of computing, the specialisation subject area covers Business and Information Systems, Systems Analysis and Design, Enterprise Systems, Enterprise Resource Planning, Data Warehouse Technology, Business Intelligence, Business Process Management, Information Systems Implementation, IS Strategy and Management.

Electives courses like Principles of Accounting, Introduction to Computer Security, Visual Programming, Software Project Management, Decision Support Systems, Advanced Database Management and Database Administration will be offered to students undergoing this programme.

Students will have an opportunity to work with the industry through their 6 months of industrial training and carry out real-life projects on software development, implementation of enterprise information systems and data analysis. All such training will add value to their qualification and increase their employment opportunities.", Duration:3 years,"STPM:  Grade C in 2 relevant subject
A Level: Grade D in 2 relevant subject
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/relevant Diploma (with minimum CGPA 2.5000) accredited by MQA
TARUC: Foundation in Computing(Track B)/relevant diploma (with minimum CGPA 2.5000)
AND
SPM Credit/O Level Grade C in mathematics/UEC Grade B in one mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language","Campuses:KL - Kuala Lumpur Main Campus  

Intake:
Year 1 Intake: June
Year 2 Intake: June"," Career Prospects:
ERP Consultants
Business and Systems Analysts
Business Process Consultants
Business Intelligence Specialists
Data Warehouse Developers
IT Consultants
IT Managers
Programmers
Web Designers
Database Administrators","Estimated Total Fees : RM 34,300 (Malaysian Student), RM59,900 (International Student)

The estimated total fees may vary by 10%",,
Bachelor of Tourism Management (Honours) Event Management,"Designed to prepare students for the demands of the industry, this programme combines fundamental areas of event management in the tourism context. As events are becoming a vital part of tourism and businesses, students will be guided to be adaptable and resourceful to thrive in this fast-paced career filled with exciting opportunities and varied workplace experiences. Hands-on learning opportunities are tailored into the programme through which students learn to stage events from conception to completion. All these competencies are highly relevant to allow them to thrive in the competitive and dynamic tourism and event industry.

This programme is one of the hospitality and tourism courses/programmes in Malaysia which has obtained full accreditation by Malaysian Qualifications Agency.",Duration:3 years,"STPM:  Grade C in 2 relevant subjects
A Level: Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Arts(Track B)/Relevant Diploma 
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language","Intake:July & November
Campus:PK - Perak Branch Campus ","• Tourism, Leisure, and Event and Convention Management

• Clubs and Recreation Industry

• Travel Industry

• Hotels and Resorts Industry

• Airlines/Cruise Lines

• Convention Centres

• MICE Companies

• PR and Event Firms

• Sales and Marketing Departments","Estimated Total Fees: RM33,500 (Malaysian Student)

The estimated total fees may vary by 10%.",,
